Date,Open,High,Low,Close,Volume,Change
2021-01-04,5200,5280,5100,5240,222300,0.009633911368015502
2021-01-05,5190,5450,5170,5400,790953,0.03053435114503822
2021-01-06,5450,5450,5180,5240,509155,-0.029629629629629672
2021-01-07,5240,5290,5070,5140,346903,-0.01908396946564883
2021-01-08,5160,5160,5030,5070,213280,-0.013618677042801508
2021-01-11,5080,5100,4765,4970,223900,-0.01972386587771202
2021-01-12,4970,5160,4905,5100,134873,0.026156941649899457
2021-01-13,5160,5250,5040,5230,235416,0.025490196078431282
2021-01-14,5320,5370,5220,5250,227291,0.003824091778202643
2021-01-15,5280,5420,5170,5300,375466,0.00952380952380949
2021-01-18,5330,5630,5250,5300,1295456,0.0
2021-01-19,5360,5370,4960,5270,303638,-0.005660377358490565
2021-01-20,5250,5430,5110,5360,424036,0.017077798861480087
2021-01-21,5340,5400,5150,5300,262273,-0.011194029850746245
2021-01-22,5280,6890,5260,5970,13733469,0.12641509433962272
2021-01-25,5970,6320,5880,6320,3473934,0.058626465661641536
2021-01-26,6180,6260,5850,5980,821682,-0.05379746835443033
2021-01-27,6120,6460,5730,5800,1901207,-0.030100334448160515
2021-01-28,5640,5770,5520,5530,412715,-0.04655172413793107
2021-01-29,5540,6330,5310,5400,1783579,-0.023508137432188048
2021-02-01,5350,5460,5180,5360,248424,-0.007407407407407418
2021-02-02,5480,5880,5400,5710,463747,0.06529850746268662
2021-02-03,5750,5750,5590,5700,198448,-0.0017513134851138146
2021-02-04,5750,6050,5620,5930,631737,0.04035087719298236
2021-02-05,5990,6140,5800,5920,385819,-0.001686340640809414
2021-02-08,5950,5950,5660,5660,210891,-0.04391891891891897
2021-02-09,5660,6280,5660,6010,1882575,0.06183745583038869
2021-02-10,6040,6040,5800,6010,237192,0.0
2021-02-15,6100,6120,5930,6060,265641,0.008319467554076532
2021-02-16,6030,6060,5840,5870,207689,-0.031353135313531344
2021-02-17,5910,6270,5870,6230,573899,0.061328790459965976
2021-02-18,6260,6370,6020,6140,684702,-0.014446227929374
2021-02-19,6860,7600,6070,6130,7524109,-0.0016286644951140072
2021-02-22,6140,6300,5960,6000,552943,-0.021207177814029365
2021-02-23,5930,6190,5680,5690,434532,-0.05166666666666664
2021-02-24,5600,5900,5490,5490,247874,-0.03514938488576447
2021-02-25,5560,5740,5560,5620,216257,0.023679417122040025
2021-02-26,5500,5530,5340,5470,201539,-0.026690391459074703
2021-03-02,5620,5730,5530,5620,131692,0.027422303473491727
2021-03-03,5620,5800,5570,5790,144675,0.030249110320284656
2021-03-04,5780,5850,5710,5830,103091,0.006908462867012188
2021-03-05,5750,5750,5610,5710,141565,-0.020583190394511175
2021-03-08,5710,5760,5490,5490,142151,-0.038528896672504365
2021-03-09,5500,5510,5220,5340,136462,-0.02732240437158473
2021-03-10,5360,5500,5300,5310,86069,-0.005617977528089901
2021-03-11,5320,5380,5260,5340,58003,0.005649717514124353
2021-03-12,5340,5470,5340,5470,51806,0.02434456928838946
2021-03-15,5470,5710,5470,5650,132299,0.03290676416819016
2021-03-16,5760,5760,5630,5660,79589,0.001769911504424737
2021-03-17,5670,5680,5580,5650,44804,-0.0017667844522968323
2021-03-18,5620,5850,5600,5790,135143,0.024778761061946986
2021-03-19,5700,5900,5670,5810,121060,0.003454231433505983
2021-03-22,5930,5930,5810,5840,94128,0.005163511187607606
2021-03-23,5840,5920,5720,5770,78731,-0.011986301369863006
2021-03-24,5740,5830,5650,5700,64370,-0.012131715771230511
2021-03-25,5700,5810,5650,5770,43526,0.012280701754386003
2021-03-26,5770,5810,5660,5750,60013,-0.0034662045060658286
2021-03-29,5850,5930,5760,5860,113952,0.019130434782608674
2021-03-30,5930,5930,5800,5840,83788,-0.0034129692832765013
2021-03-31,5830,5950,5770,5900,120690,0.010273972602739656
2021-04-01,5910,6030,5850,5990,160827,0.015254237288135686
2021-04-02,6000,6050,5840,5940,114517,-0.008347245409014992
2021-04-05,5950,6100,5890,6070,156077,0.02188552188552184
2021-04-06,6110,6150,5960,6020,127173,-0.008237232289950547
2021-04-07,6020,6100,5890,5940,92600,-0.013289036544850474
2021-04-08,5940,6080,5940,6030,113165,0.015151515151515138
2021-04-09,6030,6210,6030,6130,163421,0.016583747927031434
2021-04-12,6140,6420,6140,6380,295668,0.040783034257748874
2021-04-13,6380,6390,6170,6220,190099,-0.025078369905956133
2021-04-14,6130,6320,6110,6220,122128,0.0
2021-04-15,6220,6370,6100,6180,124058,-0.006430868167202619
2021-04-16,6180,6300,6150,6210,73751,0.004854368932038833
2021-04-19,6210,6290,6120,6200,72953,-0.0016103059581320522
2021-04-20,6140,6320,6130,6310,115529,0.01774193548387104
2021-04-21,6310,6400,6130,6270,90936,-0.006339144215530945
2021-04-22,6270,6270,6160,6180,88670,-0.014354066985645897
2021-04-23,6250,6250,6110,6150,71672,-0.004854368932038833
2021-04-26,6150,6420,6150,6320,197431,0.027642276422764178
2021-04-27,6390,6390,6250,6350,143808,0.004746835443038
2021-04-28,6300,6320,5940,6000,192813,-0.055118110236220486
2021-04-29,6000,6080,5710,5910,102114,-0.015000000000000013
2021-04-30,5900,5950,5650,5790,134340,-0.02030456852791873
2021-05-03,5790,5970,5770,5860,46017,0.012089810017271052
2021-05-04,5860,5880,5650,5880,72018,0.0034129692832765013
2021-05-06,5890,6000,5820,5900,71255,0.00340136054421758
2021-05-07,5920,6000,5900,5980,67627,0.013559322033898313
2021-05-10,5980,6230,5980,6190,92013,0.03511705685618738
2021-05-11,6200,6200,6000,6140,88281,-0.008077544426494332
2021-05-12,6100,6140,5880,5940,73382,-0.032573289902280145
2021-05-13,5850,5890,5740,5800,71390,-0.023569023569023573
2021-05-14,5800,5930,5790,5890,39880,0.01551724137931032
2021-05-17,5910,6110,5910,5980,80514,0.015280135823429575
2021-05-18,6060,6100,5950,5990,68706,0.0016722408026756952
2021-05-20,6020,6150,5960,6100,114525,0.01836393989983298
2021-05-21,6150,6210,6000,6010,94731,-0.014754098360655776
2021-05-24,6000,6130,5950,6020,107340,0.0016638935108153063
2021-05-25,5990,6300,5990,6190,180641,0.028239202657807327
2021-05-26,6220,6280,6170,6220,119121,0.004846526655896577
2021-05-27,6230,6610,6230,6580,460671,0.05787781350482324
2021-05-28,6590,6620,6360,6420,219894,-0.024316109422492405
2021-05-31,6470,6930,6410,6410,770504,-0.0015576323987538387
2021-06-01,6440,6790,6440,6730,437756,0.0499219968798752
2021-06-02,6730,6880,6590,6670,224565,-0.008915304606240682
2021-06-03,6660,6860,6580,6660,181253,-0.0014992503748125774
2021-06-04,6720,6770,6500,6740,177008,0.012012012012011963
2021-06-07,6850,6850,6620,6730,158522,-0.0014836795252225476
2021-06-08,6740,6800,6570,6570,121192,-0.02377414561664193
2021-06-09,6570,6680,6480,6520,90800,-0.007610350076103556
2021-06-10,6480,6870,6450,6750,240639,0.03527607361963181
2021-06-11,6810,6820,6640,6690,112629,-0.008888888888888835
2021-06-14,6680,6750,6640,6720,94645,0.004484304932735439
2021-06-15,6790,6800,6580,6630,93300,-0.013392857142857095
2021-06-16,6630,7200,6630,6900,570297,0.040723981900452566
2021-06-17,6900,6950,6740,6950,170087,0.007246376811594235
2021-06-18,6980,7150,6790,7000,225701,0.007194244604316502
2021-06-21,7620,7620,6880,7010,810067,0.0014285714285713347
2021-06-22,7170,7250,6940,6960,247564,-0.007132667617689048
2021-06-23,6990,7020,6690,6750,239368,-0.030172413793103425
2021-06-24,6750,6800,6440,6500,190166,-0.03703703703703709
2021-06-25,6490,6650,6490,6540,99785,0.006153846153846176
2021-06-28,6540,6620,6500,6590,93897,0.007645259938837912
2021-06-29,6590,6660,6490,6550,85792,-0.006069802731411222
2021-06-30,6550,6650,6500,6580,80568,0.004580152671755711
