Date,Open,High,Low,Close,Volume,Change
2021-01-04,11500,11600,11350,11450,1579106,0.022321428571428603
2021-01-05,11350,11700,11200,11600,1602607,0.013100436681222627
2021-01-06,11900,11950,11400,11600,1705953,0.0
2021-01-07,11800,11900,11600,11650,1178901,0.004310344827586299
2021-01-08,11750,11750,11450,11600,1164441,-0.0042918454935622075
2021-01-11,11850,12150,11400,11800,2832648,0.01724137931034475
2021-01-12,11750,11750,11400,11600,1158232,-0.016949152542372836
2021-01-13,11650,11700,11500,11600,652057,0.0
2021-01-14,11600,11750,11550,11600,637625,0.0
2021-01-15,11550,11650,11300,11400,797780,-0.017241379310344862
2021-01-18,11300,11500,11100,11300,979980,-0.00877192982456143
2021-01-19,11450,11750,11400,11650,1557614,0.030973451327433565
2021-01-20,11850,12450,11600,12300,2899831,0.05579399141630903
2021-01-21,12600,12950,12500,12600,2164465,0.024390243902439046
2021-01-22,12600,12700,12250,12600,898395,0.0
2021-01-25,12750,13100,12600,12650,943086,0.003968253968253954
2021-01-26,12650,12850,12400,12800,834591,0.011857707509881354
2021-01-27,12900,12950,12350,12500,870062,-0.0234375
2021-01-28,12050,12400,12050,12200,881826,-0.02400000000000002
2021-01-29,12400,12550,11400,11700,1459890,-0.040983606557377095
2021-02-01,11600,12000,11250,11900,950363,0.017094017094017033
2021-02-02,12150,12450,11950,12150,958296,0.021008403361344463
2021-02-03,12250,12500,12050,12500,947099,0.028806584362139898
2021-02-04,12700,12750,12250,12650,1205797,0.01200000000000001
2021-02-05,12750,12800,12250,12300,813351,-0.02766798418972327
2021-02-08,12300,12450,12150,12350,546454,0.004065040650406582
2021-02-09,12500,12700,12300,12350,776438,0.0
2021-02-10,12450,12650,12350,12500,695393,0.012145748987854255
2021-02-15,12600,12600,12450,12600,629157,0.008000000000000007
2021-02-16,12650,12950,12550,12950,1420803,0.02777777777777768
2021-02-17,13000,13200,12800,13150,1099979,0.015444015444015413
2021-02-18,13300,13900,13150,13150,2177521,0.0
2021-02-19,13250,13250,12750,13200,860393,0.0038022813688212143
2021-02-22,13350,13350,12850,12950,677787,-0.018939393939393923
2021-02-23,12700,13000,12600,12850,521756,-0.007722007722007707
2021-02-24,12800,12850,12250,12300,812802,-0.04280155642023342
2021-02-25,12550,12750,12350,12750,670463,0.03658536585365857
2021-02-26,12250,12500,12200,12500,723316,-0.019607843137254943
2021-03-02,12750,12800,12200,12350,708178,-0.01200000000000001
2021-03-03,12250,12450,12200,12450,321623,0.00809716599190291
2021-03-04,12300,12350,12100,12200,398414,-0.02008032128514059
2021-03-05,12000,12150,11900,12150,462720,-0.004098360655737654
2021-03-08,12250,12300,12050,12100,369308,-0.004115226337448541
2021-03-09,12000,12100,11600,11900,645485,-0.016528925619834656
2021-03-10,12000,12050,11600,11700,342801,-0.01680672268907568
2021-03-11,11800,12050,11650,12000,335921,0.02564102564102555
2021-03-12,12100,12150,12000,12050,250155,0.004166666666666652
2021-03-15,12050,12400,11900,12400,401850,0.029045643153526868
2021-03-16,12500,12500,12200,12400,354212,0.0
2021-03-17,12400,12450,12300,12400,292501,0.0
2021-03-18,12500,12550,12400,12500,356438,0.008064516129032251
2021-03-19,12300,12600,12300,12550,340597,0.0040000000000000036
2021-03-22,12550,12600,12400,12550,289318,0.0
2021-03-23,12600,12850,12500,12550,725494,0.0
2021-03-24,12550,12650,12350,12500,570341,-0.003984063745019917
2021-03-25,12450,13050,12450,13000,1363887,0.040000000000000036
2021-03-26,13050,13100,12800,13000,624819,0.0
2021-03-29,13150,13150,12850,12850,501869,-0.011538461538461497
2021-03-30,12850,13000,12800,12900,421177,0.0038910505836575737
2021-03-31,12950,13400,12950,13400,1406854,0.03875968992248069
2021-04-01,13500,13700,13300,13650,1013036,0.018656716417910557
2021-04-02,13650,13700,13300,13400,669308,-0.01831501831501836
2021-04-05,13500,13500,13200,13400,430274,0.0
2021-04-06,13400,13450,13150,13300,474110,-0.007462686567164201
2021-04-07,13250,13300,13150,13300,265009,0.0
2021-04-08,13300,14200,13300,14100,2348607,0.06015037593984962
2021-04-09,14200,14650,13850,14500,1267803,0.028368794326241176
2021-04-12,14750,14800,14300,14550,802754,0.0034482758620688614
2021-04-13,14550,14800,14250,14300,687934,-0.01718213058419249
2021-04-14,14400,15000,14300,14700,885874,0.027972027972027913
2021-04-15,14550,14850,14500,14600,402666,-0.006802721088435382
2021-04-16,14500,14600,14200,14450,455365,-0.010273972602739767
2021-04-19,14600,14800,14250,14450,702204,0.0
2021-04-20,14450,14500,14250,14450,397543,0.0
2021-04-21,14400,14400,14000,14200,688460,-0.01730103806228378
2021-04-22,14300,14450,14100,14300,443551,0.007042253521126751
2021-04-23,14200,14300,14000,14250,333858,-0.0034965034965035446
2021-04-26,14400,14450,14150,14250,423033,0.0
2021-04-27,14300,14300,14100,14250,287979,0.0
2021-04-28,14150,14200,13750,13850,593103,-0.028070175438596467
2021-04-29,13800,14000,13500,14000,584763,0.010830324909747224
2021-04-30,14000,14000,13600,13700,465620,-0.021428571428571463
2021-05-03,13650,13950,13450,13600,357377,-0.007299270072992692
2021-05-04,13650,14000,13400,13950,593893,0.025735294117646967
2021-05-06,13900,14150,13800,13950,466953,0.0
2021-05-07,14100,14100,13900,13950,257651,0.0
2021-05-10,13950,14350,13850,14200,567395,0.017921146953405076
2021-05-11,14050,14100,13850,14000,379315,-0.014084507042253502
2021-05-12,13950,13950,13550,13700,478675,-0.021428571428571463
2021-05-13,13400,13650,13300,13400,483458,-0.021897810218978075
2021-05-14,13500,13650,13350,13400,394732,0.0
2021-05-17,12900,13050,12650,12900,1262787,-0.03731343283582089
2021-05-18,12900,13350,12700,13350,684445,0.03488372093023262
2021-05-20,13350,13500,13050,13450,324189,0.0074906367041198685
2021-05-21,13550,13650,13150,13200,317996,-0.018587360594795488
2021-05-24,13200,13200,12950,13050,365637,-0.011363636363636354
2021-05-25,13150,13250,13000,13100,339929,0.003831417624521105
2021-05-26,13100,13150,13000,13000,326134,-0.007633587786259555
2021-05-27,13050,13300,13050,13100,510343,0.007692307692307665
